Key	Type	Desc	English	German	Japanese	Korean	Spanish	Chinese (Simplified)	Thai
Items/GalaxiteShovel	Text	 [new]	Galaxite Shovel	Galaxit-Schaufel	ガラクサイトのシャベル	갈락사이트 삽	Pala de galaxita	星河金属铲子	พลั่วกาแล็กไซต์
Items/GalaxiteShovelDesc	Text	 [new]	An otherworldly shovel, outstanding at digging up ground. Covers an area of up to 3x3 tiles.	Eine außerweltliche Schaufel. Eignet sich unschlagbar gut, um Böden zu entfernen. Deckt eine Fläche von bis zu 3x3 Fliesen ab.	地面を掘ることに優れた異世界のシャベル。最大範囲は3x3マス。	땅을 파는 데 아주 뛰어난 초자연적인 삽입니다. 최대 3x3 타일 구역을 아우를 수 있습니다.	Una pala de otra galaxia, excelente para cavar el terreno. Cubre una zona de hasta 3x3 baldosas.	一把仿佛来自异世界的铲子，挖掘地面时效果超群。可覆盖最多 3x3 格地面。	พลั่วต่างโลก ขุดดินได้ยอดเยี่ยม ครอบคลุมพื้นที่สูงสุด 3x3 ช่อง
Items/GalaxiteSledge	Text	 [new]	Galaxite Sledge Hammer	Galaxit-Hammer	ガラクサイトの大型ハンマー	갈락사이트 대형 망치	Maza de galaxita	星河金属大锤	ค้อนปอนด์กาแล็กไซต์
Items/GalaxiteSledgeDesc	Text	 [new]	An otherworldly weapon for smashing foes and walls.	Eine außerweltliche Waffe, um Widersacher zu erschlagen und Wände zu zertrümmern.	敵を殴ったり、カベを破壊したりするのに使える別世界の武器。	적과 벽을 박살 낼 때 사용하는 초자연적인 무기입니다.	Un arma de otra galaxia para acabar con enemigos y muros.	一把仿佛来自异世界的武器，可以用来砸碎敌人与墙壁。	อาวุธต่างโลกสำหรับทุบศัตรูและกำแพง
Items/GalaxiteSword	Text	 [new]	Galaxite Sword	Galaxit-Schwert	ガラクサイトの剣	갈락사이트 검	Espada de galaxita	星河金属剑	ดาบกาแล็กไซต์
Items/GalaxiteSwordDesc	Text	 [new]	An otherworldly weapon for slaying foes.	Eine außerweltliche Waffe, um deine Feinde zu erschlagen.	敵を討伐する異世界の武器。	적을 처치하는 데 사용하는 초자연적인 무기입니다.	Un arma de otra galaxia para matar enemigos.	一把仿佛来自异世界的武器，可以用来斩杀敌人。	อาวุธต่างโลกสำหรับสังหารศัตรู
Items/GalaxiteTrap	Text	 [new]	Galaxite Trap	Galaxit-Falle	ガラクサイトのトラップ	갈락사이트 함정	Trampa de galaxita	星河金属陷阱	กับดักกาแล็กไซต์
Items/GalaxiteTrapDesc	Text	 [new]	This high-tech trap shoots out a jet of energy that burns with different temperatures, resulting in a rainbow flame.	Diese Hightech-Falle gibt eine Energiestrahl ab, der aus verschiedenen Temperaturen besteht, wodurch sich eine Regenbogenflamme bildet.	異なる温度で燃焼し虹色の炎となったエネルギーを噴出する高性能なトラップ。	이 최첨단 함정은 다양한 온도의 불타는 방출 에너지를 쏘아 무지개 빛깔의 불꽃을 만들어 냅니다.	Esta trampa altamente tecnológica dispara un chorro de energía que quema a diferentes temperaturas, produciendo una llama arcoíris.	这种高科技陷阱能喷射出一道能量气流，以不同的温度燃烧，从而产生彩虹色的火焰。	กับดักไฮเทคนี้ยิงลำแสงพลังงานที่ลุกไหม้ในอุณหภูมิที่แตกต่างกันออกไป ทำให้เกิดไฟสีรุ้งขึ้น
Items/GalaxiteTurret	Text	 [new]	Galaxite Turret	Galaxit-Geschützturm	ガラクサイトのタレット	갈락사이트 포탑	Torreta de galaxita	星河金属炮塔	ป้อมปืนกาแล็กไซต์
Items/GalaxiteTurretDesc	Text	 [new]	An automated high-tech gun that shoots enemies it faces with energy projectiles. Requires electricity to function.	Eine automatisches Hightech-Geschütz, das auf Feinde in seiner Sichtlinie mit Energieprojektilen schießt. Benötigt Elektrizität, um zu funktionieren.	視界に入った敵にエネルギーの発射物を撃ち込むハイテク自動銃。作動には電力が必要。	최첨단 자동 총기로 적에게 에너지 발사체를 쏩니다. 작동에는 전기가 필요합니다.	Un arma automática altamente tecnológica que dispara proyectiles de energía a los enemigos que se le ponen por delante. Requiere electricidad para funcionar.	一种高科技自动化炮塔，能向它所面对的敌人射出能量投射物。需要电力才能正常运作。	ปืนไฮเทคอัตโนมัติที่ยิงศัตรูที่เผชิญหน้าด้วยกระสุนพลังงาน ต้องใช้กระแสไฟฟ้าในการทำงาน
Items/GalaxiteWorkbench	Text	 [new]	Galaxite Workbench	Galaxit-Werkbank	ガラクサイトの作業台	갈락사이트 작업대	Mesa de trabajo de galaxita	星河金属工作台	โต๊ะทำงานกาแล็กไซต์
Items/GalaxiteWorkbenchDesc	Text	 [new]	Otherworldly workbench that helps tremendously to survive in the deepest caves.	Außerweltliche Werkbank, die beim Überleben in den tiefsten Höhlen enorm hilfreich ist.	洞窟の最奥で生き残るために大いに役立つ異世界の作業台。	가장 깊은 동굴에서라도 살아남는 데 엄청난 도움을 주는 초자연적인 작업대입니다.	Una mesa de trabajo de otra galaxia que ayuda enormemente a sobrevivir en las cuevas más profundas.	仿佛来自异世界的工作台。无论身处多么幽深的洞穴，它也能给想要生存下去的你带来极大的帮助。	โต๊ะทำงานต่างโลกที่ช่วยในการเอาชีวิตรอดในถ้ำที่ลึกที่สุดได้เป็นอย่างมาก
Items/GemCrab	Text	 [new]	Gem Crab	Juwelen-Krabbe	ホウセキガニ	보석 게	Cangrejo gema	宝石蟹	ปูอัญมณี
Items/GemCrabDesc	Text	 [new]	This rare crab has ancient gemstones growing all over it.	Diese seltene Krabbe ist zur Hälfte mit Antiken Edelsteinen überzogen.	希少な種のカニ。体中に古代の宝石が生えている。	이 희귀한 게 위에는 여러 가지 고대 보석이 자라고 있습니다.	Este inusual cangrejo tiene antiguas gemas por todo su cuerpo.	一种稀有的螃蟹，身上长满了上古宝石。	ปูหายากชนิดนี้มีหินโบราณล้ำค่าขึ้นอยู่ทั่วตัว
Items/Geode	Text	 [new]	Geode	Geode	ジオード	정동석	Geoda	晶洞石	จีโอด
Items/GeodeDesc	Text	 [new]	Half of a rock with beautiful crystals inside.	Die Hälfte eines Steins mit wunderschönen Kristallen im Inneren.	半分に割れた岩。内側は美しい結晶で覆われている。	아름다운 크리스털이 들어 있는 반쪽짜리 암석입니다.	La mitad de una roca con hermosos cristales dentro.	外面一半是石头，里面则是美丽的水晶	หินครึ่งก้อนที่มีคริสตัลสวยงามอยู่ภายใน
Items/GeodeWallDisplay	Text	 [new]	Geode Wall Display	Geoden-Wanddekoration	カベ掛けのジオード	정동석 벽 전시품	Geoda mural de exposición	晶洞石墙饰	จีโอดประดับกำแพง
Items/GeodeWallDisplayDesc	Text	 [new]	A cleanly cut half of a geode. The simple wooden construction underneath allows it to be attached to a wall.	Die sauber geschnittene Hälfte einer Geode. Die einfache Holzkonstruktion darunter erlaubt es, sie an einer Wand anzubringen.	綺麗に半分にカットされたジオード。底にある木製のシンプルな構造物によってカベに取り付けられるようになっている。	깔끔하게 절반으로 자른 정동석입니다. 아래의 단순한 나무 구조 덕분에 벽에 고정할 수 있습니다.	Una geoda cortada limpiamente en dos. La sencilla estructura de madera que tiene debajo permite fijarla a la pared.	整整齐齐地切割下来的半块晶洞石。配有简单的木质底托，因此可以固定在墙上。	"จีโอดที่ตัดผ่าครึ่งอย่างหมดจด
โครงสร้างไม้เรียบง่ายด้านล่าง
ทำให้สามารถติดกำแพงได้"
Items/GhormChest	Text	 [new]	Ghorm Chest	Ghorms Kiste	ゴームの宝箱	고름 상자	Cofre de Ghorm	戈尔姆箱子	หีบกอร์ม
Items/GhormChestDesc	Text	 [new]	A plated chest reminiscent of the devourer.	Eine mit Chitinplatten verstärkte Kiste, die an den Verschlinger erinnert.	大喰らいのゴームを思い起こさせるメッキ加工の宝箱。	포식자를 연상시키는 도금 상자입니다.	Un cofre chapado que recuerda al Devorador.	一个加了钢板的箱子，能让人追忆起吞噬者的形象。	หีบเคลือบที่ชวนให้นึกถึงจอมเขมือบ
Items/GhormTrophy	Text	 [new]	Ghorm Figurine	Ghorm-Figur	ゴームの像	고름상	Figurita de Ghorm	戈尔姆小雕像	ฟิกเกอร์กอร์ม
Items/GhormTrophyDesc	Text	 [new]	A lifelike representation of Ghorm the Devourer.	Eine lebensechte Nachbildung von Ghorm, dem Verschlinger.	今にも動き出しそうな大喰らいのゴームの像。	포식자 고름의 모습을 그대로 본뜬 조각상입니다.	Una representación realista de Ghorm el Devorador.	活灵活现地刻画出了吞噬者戈尔姆的样子。	หุ่นจำลองเหมือนจริงของกอร์มจอมเขมือบ
Items/GhormsStomachBag	Text	 [new]	Ghorm's Stomach Backpack	Ghorms Magen-Rucksack	ゴームの胃ぶくろリュック	고름의 위장 배낭	Mochila estomacal de Ghorm	戈尔姆的胃背包	เป้กระเพาะของกอร์ม
Items/GhormsStomachBagDesc	Text	 [new]	A well-preserved stomach portion of the Devourer, comes with two handy straps.	Ein gut erhaltenes Stück vom Magen des Verschlingers. Kommt mit zwei praktischen Tragegurten.	よく保存されたゴームの胃ぶくろ。便利な2本のストラップ付き。	포식자의 위장을 잘 보존하여 만든 배낭으로, 편리한 끈이 두 개 달려 있습니다.	Una porción bien conservada del estómago del Devorador; viene con dos prácticas correas.	吞噬者的胃的一部分，保存良好，还自带两条方便的系带。	ส่วนกระเพาะของจอมเขมือบที่เก็บรักษาไว้อย่างดี มีหูหิ้วถือสะดวกสองหู
Items/GhostBlanketBreastArmor	Text	 [new]	Spooky Blanket Cape	Spuklaken-Umhang	不気味なブランケットケープ	으스스한 담요 망토	Capa de sábana espeluznante	阴森可怖的毛毯斗篷	ผ้าคลุมผ้าห่มขนหัวลุก
Items/GhostBlanketBreastArmorDesc	Text	 [new]	Boohooo, behold the dirty bedding!	Buuhuuu, fürchtet die dreckige Bettwäsche!	うぇーん、この汚れた毛布を見て！	흑흑, 더러운 침구를 좀 보세요!	¡Uuuh, contempla las sábanas sucias!	把它披在身上，让别人看看你那脏兮兮的被单吧！	แฮ่ ผ้าห่มสกปรกน่ากลัวมาแล้ว!
Items/GhostBlanketCavelingTrophy	Text	 [new]	Spookaveling Figurine	Spukrottling-Figur	スプーケイヴリングの像	으스스동굴인상	Figurita de espeluznícola	阴森穴居者小雕像	ฟิกเกอร์มนุษย์ถ้ำหลอน
Items/GhostBlanketCavelingTrophyDesc	Text	 [new]	A lifelike representation of a Spookaveling.	Eine lebensechte Nachbildung eines Spukrottlings.	今にも動き出しそうなスプーケイヴリングの像。	으스스동굴인의 모습을 그대로 본뜬 조각상입니다.	Una representación realista de un espeluznícola.	活灵活现地刻画出了阴森穴居者的样子。	หุ่นจำลองเหมือนจริงของมนุษย์ถ้ำหลอน
Items/GhostBlanketHelm	Text	 [new]	Spooky Blanket Hood	Spuklaken-Kapuze	不気味なフード付きブランケット	으스스한 후드 담요	Capucha de sábana espeluznante	阴森可怖的毛毯兜帽	ฮู้ดผ้าห่มขนหัวลุก
Items/GhostBlanketHelmDesc	Text	 [new]	A cheap last-minute attempt to get ready for the spooky season.	Ein billiger, in letzter Minute gebastelter Versuch, sich auf die gruselige Jahreszeit vorzubereiten.	不気味な季節への準備のため、ギリギリでそろえた安物。	으스스한 계절을 준비하기 위한 막판의 싸구려 시도입니다.	Un intento barato de última hora de prepararse para la temporada espeluznante.	赶在闹鬼季来临前最后一刻拼凑出来的粗劣道具服。	ความพยายามด้นสดแบบไม่ลงทุนสำหรับฤดูกาลขนหัวลุก
Items/GiantCicadaBossScanner	Text	 [new]	Nimruza, Queen of the Burrowed Sands Scanner	Scanner für Nimruza, Königin der Verborgenen Sande	砂潜りの女王ニムルザのスキャナー	파묻힌 모래의 여왕 님루자 탐지기	Escáner de Nimruza, Reina de las Arenas Excavadas	潜沙女王尼姆鲁扎扫描仪	เครื่องสแกนนิมรูซา ราชินีแห่งโพรงทราย
Items/GiantCicadaBossScannerDesc	Text	 [new]	Scans the world for Nimruza, Queen of the Burrowed Sands. Consumed on successful scan.	Scannt die Welt nach Nimruza, Königin der Verborgenen Sande. Wird bei erfolgreichem Scan verbraucht.	砂潜りの女王ニムルザの居場所をスキャンする。スキャン成功で消費される。	파묻힌 모래의 여왕 님루자를 찾아 세계를 탐색합니다. 탐지에 성공하면 사라집니다.	Escanea el mundo en busca de Nimruza, Reina de las Arenas Excavadas. Se consume si escanea con éxito.	能用来扫描整个世界，搜索潜沙女王尼姆鲁扎所在的位置。扫描成功后便会消失。	สแกนโลกเพื่อค้นหานิมรูซา ราชินีแห่งโพรงทราย จะหายไปเมื่อสแกนสำเร็จ
Items/GiantCicadaBossSummoningItem	Text	 [new]	Corrupted Sap	Korrumpierter Saft	破損した樹液	타락한 수액	Savia corrompida	腐败树液	น้ำหล่อเลี้ยงเสื่อมทราม
Items/GiantCicadaBossSummoningItemDesc	Text	 [new]	A hardened lump of corrupted sap, oozing void-like trails that cling and writhe. Consumed upon placing it on the Giant Cicada summoning rune.	Ein Brocken aus gehärtetem, korrumpiertem Saft. Er hinterlässt klammernde, sich windende Spuren, die dem Nichts ähneln. Wird beim Platzieren auf der Riesenzikade-Beschwörungsrune verbraucht.	硬化した樹液の塊が破損したもの。ベタベタしてもだえ動く空虚じみた痕跡がにじみ出ている。ジャンボゼミの召喚ルーンの上に置くと消費される。	이 타락한 수액이 굳은 덩어리에서는 공허 같은 물질이 새어나와 달라붙고 꿈틀거리는 흔적을 남깁니다. 거대 매미 소환 룬에 올려놓으면 소모됩니다.	Un fragmento de savia solidificada y corrompida que supura unas hebras que se antojan de vacío y se aferran y retuercen. Se consume al colocarla en la runa de invocación de la cigarra gigante.	一块变硬的腐败树液，上面渗出类似虚空的痕迹，互相缠绕不断扭动。放在巨型蝉召唤符文石上后会被消耗。	"ก้อนน้ำหล่อเลี้ยงเสื่อมทราม
ที่แข็งตัว มีร่องรอยคล้าย
ความว่างเปล่าที่เกาะติดและ
บิดเบี้ยวไหลซึมออกมา
จะหายไปเมื่อวางบนรูนอัญเชิญ
จั๊กจั่นยักษ์"
Items/GiantCicadaBossTrophy	Text	 [new]	Nimruza Figurine	Nimruza-Figur	ニムルザの像	님루자상	Figurita de Nimruza	尼姆鲁扎小雕像	ฟิกเกอร์นิมรูซา
Items/GiantCicadaBossTrophyDesc	Text	 [new]	A lifelike representation of Nimruza, Queen of the Burrowed Sands.	Eine lebensechte Nachbildung von Nimruza, Königin der Verborgenen Sande.	今にも動き出しそうな砂潜りの女王ニムルザの像。	파묻힌 모래의 여왕 님루자의 모습을 그대로 본뜬 조각상입니다.	Una representación realista de Nimruza, Reina de las Arenas Excavadas.	活灵活现地刻画出了潜沙女王尼姆鲁扎的样子。	หุ่นจำลองเหมือนจริงของนิมรูซา ราชินีแห่งโพรงทราย
Items/GiantCicadaChest	Text	 [new]	Colossal Cicada Chest	Kolosszikaden-Kiste	巨大ゼミの宝箱	거대 매미 상자	Cofre de cigarra colosal	巨型蝉箱子	หีบจั๊กจั่นมหึมา
Items/GiantCicadaChestDesc	Text	 [new]	A large chest made of dark, glossy scales reminiscent of Nimruza. It exudes elegance and power.	Eine große Kiste aus dunklen, glänzenden Schuppen, die an Nimruza erinnern. Sie strahlt Eleganz und Kraft aus.	ニムルザを思わせる濃色の光沢のあるウロコで作られた大きな宝箱。気品と権力がにじみ出ている。	님루자를 연상시키는 윤이 나는 어두운색 비늘로 만든 큰 상자입니다. 우아하고 권위 있는 분위기를 풍깁니다.	Un cofre de gran tamaño hecho de escamas oscuras y brillantes que recuerda a Nimruza. Desprende elegancia y poder.	由貌似是尼姆鲁扎身上的黑色光泽鳞片制成的大箱子，外表优美典雅，周身散发着力量感。	หีบขนาดใหญ่ที่ทำจากเปลือกมันวาวสีเข้มชวนให้นึกถึงนิมรูซา ทั้งสง่างามและทรงพลัง
Items/GiantGerm	Text	 [new]	Giant Germ	Riesiger Keim	ジャンボ細菌	거대 세균	Germen gigante	巨型细菌	จุลินทรีย์ยักษ์
Items/GiantGermDesc	Text	 [new]	A big bacterium wiggling around in your hand, fascinating and gross at the same time.	Ein großes Bakterium, das sich in deiner Hand windet. Faszinierend und abstoßend gleichzeitig.	手の中でくねくね動く巨大な細菌。見ていて飽きないが、気持ち悪くもある。	손 위에서 이리저리 꾸물꾸물대는 거대한 세균으로, 흥미로운 동시에 징그럽습니다.	Una gran bacteria que se contonea en tu mano, fascinante y asquerosa al mismo tiempo.	一种体型很大的细菌，会在你的掌心扭来扭去，迷人又恶心。	แบคทีเรียขนาดใหญ่ดิ้นดุกดิกอยู่ในมือคุณ ทั้งตื่นตาและน่าขยะแขยงไปพร้อมๆ กัน
Items/GiantMite	Text	 [new]	Giant Mite	Riesige Milbe	ジャンボダニ	거대 진드기	Ácaro gigante	巨型螨虫	เห็บยักษ์
Items/GiantMiteDesc	Text	 [new]	A motionless crimson critter. It just sits there...watching...	Ein bewegungsloses, scharlachrotes Lebewesen. Es sitzt einfach nur da ... und beobachtet ...	動かない真紅の生き物。じっと座って...こっちを見ている...	미동도 않는 핏빛 생물입니다. 그저 그 자리에 앉아... 지켜보고 있을 뿐입니다...	Un bicho carmesí inmóvil. Simplemente se queda ahí quieto... observando...	一种暗红色的生物，不会动。只会坐在那儿……看着……	แมลงสีแดงไม่ขยับเขยื้อน มันนั่งนิ่งคอยเฝ้ามอง...
Items/GiantMitochondrion	Text	 [new]	Giant Mitochondrion	Riesen-Mitochondrie	ジャンボミトコンドリア	거대 미토콘드리아	Mitocondria gigante	巨型线粒体	ไมโทคอนเดรียยักษ์
Items/GiantMitochondrionDesc	Text	 [new]	This supersized organelle is a real powerhouse.	Dieses überdimensionale Organell ist ein echtes Kraftpaket.	エネルギーに満ちあふれた巨大なオルガネラ。	에너지를 생산하는 거대한 세포 기관입니다.	Este orgánulo desmesurado es toda una superpotencia.	这个超大的细胞器能提供源源不断的动力。	ออร์แกเนลล์ขนาดใหญ่นี้เป็นสุดยอดแหล่งผลิตพลังงานของจริง
Items/GiantMushroom	Text	 [new]	Giant Mushroom	Riesen-Pilz	ジャンボキノコ	거대 버섯	Seta gigante	巨型蘑菇	เห็ดยักษ์
Items/GiantMushroomDesc	Text	 [new]	The king of all mushrooms. Growing in perfect conditions made it unusually large.	Der König aller Pilze. Er wuchs in perfekten Bedingungen und wurde dadurch gigantisch groß.	キノコの王。生育条件が揃うと異常に大きくなる。	모든 버섯의 왕입니다. 완벽한 환경에서 자란 탓에 아주 크게 자랐습니다.	La reina de todas las setas; crecer en las condiciones perfectas la ha hecho inusualmente grande.	所有蘑菇中的王者。生长在最理想的环境下，因此长成了超乎寻常的体型。	ราชาแห่งเห็ดทั้งปวง การเติบโตในสภาพแวดล้อมที่สมบูรณ์แบบทำให้มันใหญ่ผิดปกติ
Items/GiantSquidEye	Text	 [new]	Giant Squid Eye	Riesenkalmar-Auge	ジャンボイカの目玉	거대 오징어눈	Ojo de calamar gigante	巨型鱿鱼眼球	ตาหมึกกล้วยยักษ์
Items/GiantSquidEyeDesc	Text	 [new]	A sensory organ of a big sea creature. It probably was lost in a fight to death with something even bigger.	Ein Sinnesorgan einer riesigen Meereskreatur. Es wurde vermutlich im Verlaufe eines Kampfes mit etwas viel Größerem eingebüßt.	巨大な海生生物の目玉。より巨大な存在との戦いで失われたものだろう。	거대한 해양 생물의 감각 기관입니다. 더욱 큰 존재와 죽을 때까지 싸우며 잃게 되었을 것입니다.	El órgano sensorial de una gran criatura marina. Probablemente lo perdió en una pelea a muerte con algo aún más grande.	某只大型海洋生物掉落的感觉器官。可能是在与某种体型更加庞大的生物殊死搏斗的过程中丢失的。	อวัยวะรับสัมผัสของสัตว์ทะเลตัวใหญ่ ดูแล้วมันน่าจะตายจากการต่อสู้กับบางสิ่งที่ใหญ่กว่า
Items/GingerbreadBreastArmor	Text	 [new]	Gingerbread Top	Lebkuchen-Oberteil	クッキーマンのトップス	진저브레드 상의	Peto de pan de jengibre	姜饼上衣	เสื้อขนมปังขิง
Items/GingerbreadBreastArmorDesc	Text	 [new]	A tasty breast armor made from gingerbread, comes with sugar buttons and a fondant bowtie.	Ein leckerer Brustpanzer aus Lebkuchen. Verfügt außerdem über Zuckerknöpfe und eine Fliege aus Fondant.	ジンジャークッキーでできた、おいしそうな胸当て。砂糖のボタンとフォンダンのちょうネクタイつき。	진저브레드로 만들어졌으며 설탕 버튼과 퐁당 나비넥타이가 달린 맛있는 가슴 방어구입니다.	Un sabroso peto de armadura hecho de pan de jengibre. Viene con botones de azúcar y una pajarita de fondant.	用姜饼做成的上半身护甲，配有方糖做的纽扣和奶油糖霜做的蝴蝶结，香甜可口。	เกราะป้องกันอกที่ทำจากขนมปังขิง มาพร้อมกระดุมที่ทำจากน้ำตาลและหูกระต่ายที่ทำจากฟองดองท์
Items/GingerbreadChest	Text	 [new]	Gingerbread House Chest	Lebkuchenhaus-Kiste	お菓子のおうち宝箱	진저브레드 하우스 상자	Cofre de casa de pan de jengibre	姜饼屋箱子	หีบบ้านขนมปังขิง
Items/GingerbreadChestDesc	Text	 [new]	A sweet chest made with a sturdy baked body and sugar decor. Perfect to store some seasonal items!	Eine süße Kiste, bestehend aus einem stabilen, gebackenen Korpus und Zuckerdekor. Perfekt geeignet zur Aufbewahrung von saisonalen Gegenständen!	堅焼きのジンジャーブレッドと砂糖菓子のデコレーションでできた、甘い宝箱。季節のアイテムを保存するのに最適！	견고하게 구워진 몸체와 설탕 장식으로 만들어진 달콤한 상자입니다. 일부 계절 아이템을 담아 두기에 완벽한 물건이죠!	Un dulce cofre compuesto de un firme cuerpo horneado y adornos de azúcar. ¡Perfecto para guardar objetos festivos!	一个甜甜的箱子，箱体以烘烤过的姜饼制成，十分结实，还用糖做了装饰。用它来储藏某些应季道具，简直再合适不过了！	หีบขนมหวานที่ทำจากโครงขนมอบทนทานแล้วประดับด้วยน้ำตาล เหมาะสำหรับใช้เก็บไอเท็มเทศกาลสุดๆ!
Items/GingerbreadHoodHelm	Text	 [new]	Gingerbread Hood	Lebkuchen-Kapuze	クッキーマンのフード	진저브레드 후드	Capucha de pan de jengibre	姜饼兜帽	ฮู้ดขนมปังขิง
Items/GingerbreadHoodHelmDesc	Text	 [new]	This gingerbread headpiece has not been baked, so it remains flexible to be drawn over the head.	Eine Kopfbedeckung aus Lebkuchenteig, der nicht gebacken wurde. So bleibt sie flexibel genug, um über den Kopf gezogen zu werden.	このジンジャークッキーのかぶり物はまだ焼き上げられる前なので、どんな頭にもピッタリフィットする。	굽지 않은 상태의 진저브레드 투구로, 머리에 푹 눌러쓸 수 있을 정도로 유연성을 유지하고 있습니다.	Esta pieza de pan de jengibre no está horneada, por lo que es flexible para poder colocarla sobre la cabeza.	用姜饼做成的头部防具，还没有经过烘烤，因此能随时捏成适合戴在头上的形状。	เครื่องสวมศีรษะขนมปังขิงนี้ยังไม่ได้ผ่านการอบจึงยังคงความยืดหยุ่นและคลุมศีรษะได้
Items/GingerbreadManHelm	Text	 [new]	Gingerbreadman Head	Lebkuchenmann-Kopf	クッキーマンの頭	진저브레드맨 머리	Cabeza de hombre de pan de jengibre	姜饼人的头	หัวมนุษย์ขนมปังขิง
Items/GingerbreadManHelmDesc	Text	 [new]	A funny headpiece made from gingerbread. Just ignore the creepy smile and soulless eyes.	Eine lustige Kopfbedeckung aus Lebkuchen. Ignoriere einfach das unheimliche Lächeln und die seelenlosen Augen.	ジンジャークッキーでできたおかしなかぶり物。不気味な笑顔と死んだような目は気にしないでおこう。	진저브레드로 만들어진 재미난 머리 장비입니다. 소름끼치는 미소와 무감각한 눈빛은 그냥 무시하세요.	Un divertido accesorio hecho de pan de jengibre. Ignora su sonrisa siniestra y sus ojos sin alma.	用姜饼做成的头部防具，样子很滑稽。不用太在意它那令人毛骨悚然的笑容和空洞无神的眼睛。	เครื่องสวมศีรษะตลกๆ ที่ทำจากขนมปังขิง แค่อย่าไปสนใจรอยยิ้มน่าขนลุกกับดวงตาไร้วิญญาณนั่นก็พอ
Items/GingerbreadPantsArmor	Text	 [new]	Gingerbread Pants	Lebkuchen-Hose	クッキーマンのズボン	진저브레드 바지	Grebas de pan de jengibre	姜饼裤子	กางเกงขนมปังขิง
Items/GingerbreadPantsArmorDesc	Text	 [new]	Fairly stiff legs are the main feature of this baked armor, as wells as crumbs bewteen the toes.	Ziemlich steife Beine sind das Markenzeichen dieser gebackenen Rüstung, und die Krümel zwischen den Zehen gehören einfach dazu.	この焼き上げられた防具は、かなり堅い脚部と足指の間の食べくずが特徴的。	꽤나 뻣뻣한 다리와 발가락 사이 부스러기는 이 구운 방어구의 주요 특징입니다.	De esta armadura horneada destacan unas piernas bastante tiesas, así como migas entre los dedos de los pies.	这件烘烤而成的护甲主要特征在于两条硬挺挺的裤筒，以及落在你脚趾缝里的饼干屑。	ช่วงขาที่แข็งพอตัวเป็นคุณสมบัติเด่นของเกราะที่อบแล้วนี้ รวมถึงเศษขนมปังที่อยู่ระหว่างนิ้วเท้าด้วย
Items/Glass	Text	 [new]	Glass Piece	Glas-Stück	ガラスの部品	유리 조각	Fragmento de cristal	玻璃碎片	ชิ้นส่วนกระจก
Items/GlassBridge	Text	 [new]	Glass Bridge	Glasbrücke	ガラスの橋	유리 다리	Puente de cristal	玻璃桥梁	สะพานกระจก
Items/GlassBridgeDesc	Text	 [new]	A transparent bridge that has no supports and that can be built across water or chasms.	Eine durchsichtige Brücke ohne Stützpfeiler, die über Wasser und Abgründe gebaut werden kann.	支柱のない透き通った橋。水辺や溝の上に建設できる。	투명 다리입니다. 기둥이 없으며 물 또는 깊은 틈 위에 지을 수 있습니다.	Un puente transparente que no tiene soportes, pero que se puede construir para cruzar agua o simas.	一座透明的桥梁，没有任何支撑物，可以建在水面或陷坑上方。	สะพานใสที่ไม่มีโครงสร้างรองรับ สามารถสร้างข้ามน้ำหรือรอยแยกได้
Items/GlassDesc	Text	 [new]	This piece of glass can be used as a base material to create more advanced glass objects.	Dieses Stück Glas kann als Grundmaterial für anspruchsvollere Glas-Objekte genutzt werden.	上級のガラスオブジェクトを作るベース素材として使用できるガラスの部品。	이 유리 조각은 고급 유리 사물을 만들 기본 재료로 사용할 수 있습니다.	Este trozo de cristal se puede usar como material de base para crear objetos de cristal más avanzados.	这种玻璃碎片可以作为基础材料，用来打造更高级的玻璃物体。	สามารถใช้ชิ้นส่วนกระจกนี้เป็นวัสดุตั้งต้นในการสร้างวัตถุกระจกขั้นสูงกว่าได้
Items/GlassFloor	Text	 [new]	Glass Floor	Glasboden	ガラスの床	유리 바닥	Suelo de cristal	玻璃地板	พื้นกระจก
Items/GlassFloorDesc	Text	 [new]	A see-through tile to provide a crystal-clear vision of the ground underneath.	Eine durchsichtige Fliese, die einen kristallklaren Blick auf den darunterliegenden Boden ermöglicht.	地面の下がはっきりと見える透き通ったタイル。	아래 지면이 선명하게 보이는 투명 타일입니다.	Una baldosa transparente que brinda una visión cristalina del suelo de debajo.	一块透明的方砖，能给地下世界的地面显得晶莹剔透。	"พื้นใสที่ทำให้มองเห็นพื้น-
ด้านล่างได้ชัดแจ๋ว"
Items/GlassSmelter	Text	 [new]	Glass Smelter	Glas-Schmelzofen	ガラスの溶鉱炉	유리 용광로	Fundición de cristal	玻璃冶炼炉	เตาเผากระจก
Items/GlassSmelterDesc	Text	 [new]	This handy furnace can turn any sand block into useful glass.	Dieser praktische Schmelzofen kann jede Art von Sandblock zu nützlichem Glas verarbeiten.	砂の塊から実用的なガラスを作れる便利なかまど。	이 간편한 용광로는 그 어떤 모래도 유용한 유리로 바꿀 수 있습니다.	Este práctico horno puede convertir cualquier bloque de arena en útil cristal.	无论什么样的黄沙方块，都能被这座便利的熔炉冶炼成合格的玻璃。	เตาเผาแสนสะดวกสามารถเปลี่ยนก้อนทรายใดๆ ก็ตามให้กลายเป็นกระจกทรงประโยชน์ได้
